date,accY,accZ,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,d1,d2,d3
2014_11_11_15_15_30    321,-1037,528,368,447,661,495,2,105,58,2,1,2,806,610,1,223,494,0.0,2,0
2014_11_11_15_15_30    327,-1025,511,369,450,661,495,2,109,59,2,2,1,805,611,2,229,494,0.0,2,0
2014_11_11_15_15_30    323,-1017,527,369,452,661,495,2,106,60,3,2,1,806,608,1,225,492,0.0,2,0
2014_11_11_15_15_30    328,-1012,521,369,451,660,495,2,107,61,3,1,3,805,612,1,224,495,0.0,4,0
2014_11_11_15_15_30    323,-1031,539,370,434,659,495,2,108,61,2,2,1,806,612,1,226,494,0.0,4,0
2014_11_11_15_15_30    329,-1019,531,370,453,658,495,0,108,58,1,2,2,805,613,2,237,491,0.0,4,0
2014_11_11_15_15_30    312,-1008,524,370,449,659,495,1,110,57,3,1,2,806,611,4,240,492,0.0,4,0
2014_11_11_15_15_30    315,-1021,527,369,436,659,495,3,111,60,2,2,2,806,609,1,239,493,0.0,4,0
2014_11_11_15_15_30    338,-1056,534,369,442,659,494,2,110,60,2,1,3,805,609,1,245,498,0.0,4,0
2014_11_11_15_15_30    337,-1021,519,370,439,661,492,3,111,59,1,3,1,805,609,2,253,497,0.0,4,0
2014_11_11_15_15_31    337,-1021,519,370,439,661,492,3,111,59,1,3,1,805,609,2,253,497,0.0,4,0
2014_11_11_15_15_31    334,-1025,532,368,439,659,494,2,109,61,2,2,1,805,609,1,250,497,0.0,4,0
2014_11_11_15_15_31    321,-1016,536,369,435,659,487,2,107,59,3,1,2,805,611,2,230,496,0.0,4,0
2014_11_11_15_15_31    317,-1028,531,369,439,659,486,2,112,59,2,2,1,805,609,2,243,495,0.0,4,0
2014_11_11_15_15_31    327,-1013,536,368,438,660,486,2,104,58,1,3,1,791,602,2,226,497,0.0,4,0
2014_11_11_15_15_31    312,-1018,537,368,436,660,485,2,109,57,3,2,4,789,610,2,229,494,0.0,4,0
2014_11_11_15_15_31    319,-1026,542,367,438,659,485,1,109,56,2,2,1,790,609,2,237,495,0.0,4,0
2014_11_11_15_15_31    325,-1033,520,369,458,660,485,2,106,60,0,2,2,805,600,4,256,496,0.0,4,0
2014_11_11_15_15_31    325,-1033,520,369,458,660,485,2,106,60,0,2,2,805,600,4,256,496,0.0,4,0
2014_11_11_15_15_31    320,-1031,535,368,450,660,485,3,107,59,2,2,2,804,599,2,252,495,0.0,4,0
2014_11_11_15_15_31    316,-1031,519,369,459,660,485,2,108,59,2,2,2,805,599,3,252,493,0.0,4,0
2014_11_11_15_15_31    312,-1025,540,368,443,661,484,1,111,59,2,1,2,805,600,1,252,493,0.0,4,0
2014_11_11_15_15_31    312,-1013,534,369,387,659,484,2,107,59,3,2,2,805,612,2,257,492,0.0,4,0
2014_11_11_15_15_31    312,-1032,534,370,400,659,485,1,107,57,2,1,2,804,613,2,251,496,0.0,4,0
2014_11_11_15_15_31    310,-1010,524,370,467,660,486,2,104,55,1,2,1,805,607,1,256,495,0.0,4,0
2014_11_11_15_15_31    321,-1026,534,369,444,659,487,1,106,56,2,1,2,800,611,1,252,496,0.0,4,0
2014_11_11_15_15_31    310,-1026,519,369,463,658,486,1,104,53,2,2,2,789,608,3,256,497,0.0,4,0
2014_11_11_15_15_31    296,-1002,523,369,464,659,483,2,102,62,1,2,1,791,600,2,248,494,0.0,4,0
2014_11_11_15_15_31    308,-1028,536,368,445,657,481,2,101,57,2,1,1,790,597,1,248,494,0.0,4,0
2014_11_11_15_15_32    327,-1030,527,369,452,658,481,1,108,54,2,2,0,791,593,1,251,496,0.0,4,0
2014_11_11_15_15_32    321,-1029,536,368,463,657,482,2,107,56,3,1,1,791,596,1,246,497,0.0,4,0
2014_11_11_15_15_32    304,-1017,528,368,446,658,482,2,104,53,2,1,2,791,593,2,237,495,0.0,4,0
2014_11_11_15_15_32    310,-989,528,368,446,658,481,2,103,51,2,2,2,791,597,2,249,497,0.0,4,0
2014_11_11_15_15_32    312,-1027,550,368,454,658,482,2,108,47,2,0,1,790,614,2,253,497,0.0,4,0
2014_11_11_15_15_32    310,-1033,529,368,448,658,483,1,107,48,1,0,1,792,613,1,252,500,0.0,4,0
2014_11_11_15_15_32    315,-1028,542,368,463,659,482,2,101,50,2,2,2,791,601,2,249,498,0.0,4,0
2014_11_11_15_15_32    310,-993,556,369,462,659,481,2,107,52,3,2,1,805,606,2,254,499,0.0,4,0
2014_11_11_15_15_32    313,-1009,528,368,465,659,482,2,107,50,2,0,2,798,607,0,255,498,0.0,4,0
2014_11_11_15_15_32    300,-1009,535,369,437,659,482,2,105,50,1,2,2,791,602,2,266,498,0.0,4,0
2014_11_11_15_15_32    316,-1005,551,369,439,657,481,2,109,51,2,2,2,791,601,1,266,498,0.0,4,0
2014_11_11_15_15_32    311,-1008,531,369,429,657,479,1,108,51,2,2,2,791,606,2,257,496,0.0,4,0
2014_11_11_15_15_32    329,-1005,534,369,468,658,481,2,110,52,2,3,2,791,604,0,276,496,0.0,4,0
2014_11_11_15_15_32    336,-1041,542,370,473,658,482,2,107,52,2,1,2,791,617,0,275,496,0.0,4,0
2014_11_11_15_15_32    305,-968,523,369,462,658,482,3,111,54,1,3,2,792,603,4,279,499,0.0,4,0
2014_11_11_15_15_32    305,-968,523,369,462,658,482,3,111,54,1,3,2,792,603,4,279,499,0.0,4,0
2014_11_11_15_15_32    295,-991,559,371,457,657,482,1,104,49,1,2,2,787,516,2,313,499,0.0,4,0
2014_11_11_15_15_32    295,-991,559,371,457,657,482,1,104,49,1,2,2,787,516,2,313,499,0.0,4,0
