date,accY,accZ,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,d1,d2,d3
2014_11_11_15_16_28    271,-1039,536,1,2,517,5,1,4,2,1,0,2,593,89,3,2,687,0.0,4,0
2014_11_11_15_16_29    272,-1011,543,1,2,518,5,2,4,2,2,2,2,594,90,2,0,687,0.0,4,0
2014_11_11_15_16_29    287,-1034,532,2,3,518,6,2,4,3,2,1,2,593,88,1,4,688,0.0,4,0
2014_11_11_15_16_29    271,-1031,547,2,2,518,5,3,4,2,3,2,2,594,87,2,2,687,0.0,4,0
2014_11_11_15_16_29    291,-1004,536,2,2,516,5,2,4,0,1,1,2,594,85,3,1,687,0.0,4,0
2014_11_11_15_16_29    276,-1033,551,0,2,516,4,2,4,2,2,1,2,595,85,2,2,687,0.0,4,0
2014_11_11_15_16_29    286,-1010,563,1,2,516,3,2,4,3,1,0,2,588,94,2,1,687,0.0,4,0
2014_11_11_15_16_29    281,-1010,552,2,3,517,4,3,4,2,2,2,2,585,97,0,2,687,0.0,4,0
2014_11_11_15_16_29    280,-1025,544,1,1,516,5,0,4,2,2,1,2,555,105,3,2,687,0.0,4,0
2014_11_11_15_16_29    257,-996,527,2,2,517,5,1,4,1,2,4,3,554,105,2,0,687,0.0,4,0
2014_11_11_15_16_29    264,-1012,520,3,2,518,5,2,3,1,2,2,2,586,96,2,2,686,0.0,4,0
2014_11_11_15_16_29    267,-999,536,2,1,518,5,1,5,3,2,2,1,586,89,2,2,687,0.0,4,0
2014_11_11_15_16_29    269,-1032,522,3,2,517,5,1,4,2,1,2,2,543,92,2,1,688,0.0,4,0
2014_11_11_15_16_29    291,-1049,524,2,1,517,6,2,4,2,2,2,1,545,92,2,1,687,0.0,4,0
2014_11_11_15_16_29    286,-1056,527,2,2,517,5,2,4,1,1,3,1,537,87,3,2,686,0.0,4,0
2014_11_11_15_16_29    296,-1020,575,3,2,516,5,2,3,2,2,2,1,530,84,2,1,686,0.0,4,0
2014_11_11_15_16_29    283,-1000,568,1,2,510,4,3,5,1,2,3,2,494,97,2,1,686,0.0,4,0
2014_11_11_15_16_29    255,-985,538,2,2,505,4,2,4,3,2,1,2,492,63,4,2,686,0.0,4,0
2014_11_11_15_16_29    255,-985,538,2,2,505,4,2,4,3,2,1,2,492,63,4,2,686,0.0,4,0
2014_11_11_15_16_29    280,-1050,527,1,2,506,5,2,4,1,2,2,1,555,51,1,2,687,0.0,4,0
2014_11_11_15_16_29    254,-1041,536,2,1,557,16,3,5,2,1,3,1,583,131,0,2,695,0.0,4,0
2014_11_11_15_16_30    271,-1076,525,1,1,564,18,1,5,2,2,2,2,565,344,0,1,699,0.0,4,0
2014_11_11_15_16_30    271,-1073,568,2,1,574,38,1,9,2,2,2,1,612,510,3,1,704,0.0,4,0
2014_11_11_15_16_30    241,-1049,536,277,225,534,483,1,19,1,1,1,2,695,556,2,1,720,0.0,4,0
2014_11_11_15_16_30    264,-1087,534,291,331,553,478,1,32,1,1,1,3,743,565,1,20,725,0.0,2,0
2014_11_11_15_16_30    263,-1050,510,296,284,556,479,1,48,2,204,1,1,740,570,1,78,727,0.0,0,1
2014_11_11_15_16_30    272,-1044,508,299,355,558,472,2,52,3,193,2,1,755,566,3,71,728,0.0,0,1
2014_11_11_15_16_30    247,-1069,536,302,387,555,481,1,61,1,191,2,2,765,513,0,75,729,0.0,0,1
2014_11_11_15_16_30    248,-1058,519,299,444,553,471,2,58,1,1,2,1,773,509,1,65,731,0.0,0,1
2014_11_11_15_16_30    248,-1041,496,295,372,572,470,4,60,2,2,2,2,775,483,2,64,734,0.0,0,1
2014_11_11_15_16_30    250,-1050,510,293,349,589,478,2,55,1,4,1,2,776,492,2,63,734,0.0,0,1
2014_11_11_15_16_30    248,-1058,495,293,299,592,468,1,60,1,2,1,4,775,485,2,65,736,0.0,0,1
