date,accY,accZ,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,d1,d2,d3
2014_11_11_15_17_25    348,-1059,380,257,344,664,464,2,21,1,2,2,1,785,316,2,292,822,0.0,4,0
2014_11_11_15_17_25    359,-1068,377,257,342,664,464,2,25,1,2,0,2,784,314,3,293,822,0.0,4,0
2014_11_11_15_17_25    348,-1063,391,256,349,664,463,2,26,2,1,2,1,783,315,2,292,821,0.0,4,0
2014_11_11_15_17_25    333,-1060,399,257,336,664,464,1,27,1,2,0,2,783,313,2,293,821,0.0,4,0
2014_11_11_15_17_26    335,-1076,422,258,351,664,465,2,20,1,2,2,2,783,315,2,294,822,0.0,4,0
2014_11_11_15_17_26    340,-1049,387,257,348,664,460,2,26,2,2,2,1,781,301,2,290,820,0.0,4,0
2014_11_11_15_17_26    335,-1061,385,258,341,664,460,2,21,1,2,0,1,782,316,4,299,819,0.0,4,0
2014_11_11_15_17_26    345,-1066,404,257,341,665,463,1,18,2,2,0,2,784,315,1,292,820,0.0,4,0
2014_11_11_15_17_26    347,-1071,414,258,342,664,464,2,19,2,2,2,2,783,317,2,290,820,0.0,4,0
2014_11_11_15_17_26    338,-1053,392,257,339,664,464,2,21,2,1,2,1,783,314,0,292,819,0.0,4,0
2014_11_11_15_17_26    352,-1060,383,257,341,664,464,2,21,2,1,1,1,783,315,2,290,820,0.0,4,0
2014_11_11_15_17_26    344,-1058,399,257,341,664,463,2,24,1,2,1,1,769,317,2,293,818,0.0,4,0
2014_11_11_15_17_26    347,-1052,400,257,344,663,464,0,21,2,1,1,3,769,313,3,293,819,0.0,4,0
2014_11_11_15_17_26    345,-1048,399,257,338,664,463,0,25,1,3,2,2,768,314,2,292,819,0.0,4,0
2014_11_11_15_17_26    342,-1050,436,258,338,664,465,2,23,1,2,2,1,769,312,2,294,819,0.0,4,0
2014_11_11_15_17_26    329,-1060,419,257,341,663,465,2,16,2,2,1,2,768,308,0,295,819,0.0,4,0
2014_11_11_15_17_26    335,-1074,427,256,341,663,463,2,14,1,2,1,0,762,313,1,295,818,0.0,4,0
2014_11_11_15_17_26    337,-1050,417,255,343,663,464,1,10,2,3,1,2,762,313,1,296,818,0.0,4,0
2014_11_11_15_17_26    339,-1073,444,257,341,663,463,3,10,2,2,2,2,766,316,2,295,818,0.0,4,0
2014_11_11_15_17_26    339,-1057,419,257,339,664,464,2,11,2,1,1,1,764,315,0,296,818,0.0,4,0
2014_11_11_15_17_26    327,-1073,412,257,360,663,464,2,11,1,1,2,1,765,315,1,295,819,0.0,4,0
2014_11_11_15_17_27    350,-1041,415,258,343,664,464,3,14,1,4,4,1,763,311,2,296,819,0.0,4,0
2014_11_11_15_17_27    356,-1073,414,258,351,663,465,2,23,2,1,1,2,760,314,2,297,819,0.0,4,0
2014_11_11_15_17_27    339,-1056,417,268,380,664,472,1,53,2,1,2,2,764,345,2,293,818,0.0,4,0
2014_11_11_15_17_27    339,-1056,417,268,380,664,472,1,53,2,1,2,2,764,345,2,293,818,0.0,4,0
2014_11_11_15_17_27    332,-1050,439,259,406,666,488,2,132,3,2,2,2,762,332,1,293,820,0.0,4,0
2014_11_11_15_17_27    307,-1061,431,259,395,665,497,1,123,1,1,3,2,763,353,1,303,820,0.0,4,0
2014_11_11_15_17_27    326,-1080,444,261,394,660,501,2,135,1,1,2,1,762,354,4,308,820,0.0,4,0
