date,accY,accZ,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,d1,d2,d3
2014_11_11_15_18_36    327,-1070,465,356,510,660,584,2,113,1,2,1,4,719,607,1,677,770,0.0,4,0
2014_11_11_15_18_36    359,-1064,483,355,508,660,583,1,112,2,2,2,2,719,608,1,677,770,0.0,4,0
2014_11_11_15_18_36    339,-1076,499,352,513,661,583,2,88,2,1,0,0,719,609,2,677,768,0.0,4,0
2014_11_11_15_18_36    339,-1076,499,352,513,661,583,2,88,2,1,0,0,719,609,2,677,768,0.0,4,0
2014_11_11_15_18_36    326,-1037,480,350,497,660,583,2,96,1,2,2,2,719,603,2,675,769,0.0,4,0
2014_11_11_15_18_36    326,-1058,492,350,464,660,583,2,101,1,1,2,3,720,602,1,675,771,0.0,4,0
2014_11_11_15_18_36    329,-1066,483,348,485,661,584,2,115,1,2,0,2,719,605,0,675,769,0.0,4,0
2014_11_11_15_18_36    318,-1041,463,345,495,660,583,2,109,2,2,0,1,719,603,2,675,769,0.0,4,0
2014_11_11_15_18_36    326,-997,473,342,492,660,583,0,119,2,2,1,2,720,592,2,677,771,0.0,4,0
2014_11_11_15_18_36    319,-1050,460,339,495,660,583,2,106,2,1,2,2,718,585,2,676,769,0.0,4,0
2014_11_11_15_18_36    323,-1012,489,331,468,661,583,2,149,2,2,3,2,718,601,2,675,769,0.0,4,0
2014_11_11_15_18_36    332,-1044,480,326,506,660,584,1,119,1,2,2,1,720,596,2,676,769,0.0,4,0
2014_11_11_15_18_36    339,-1031,497,325,503,659,583,3,128,2,1,2,2,720,521,2,676,769,0.0,0,1
2014_11_11_15_18_36    329,-1025,480,325,474,660,582,2,115,2,1,0,2,718,522,5,677,769,0.0,0,1
2014_11_11_15_18_36    319,-1017,487,325,481,660,584,1,120,1,1,2,2,718,522,2,675,769,0.0,0,1
2014_11_11_15_18_36    332,-1028,492,337,485,660,583,2,107,1,2,0,3,717,521,1,673,768,0.0,0,1
2014_11_11_15_18_37    352,-1061,492,339,479,661,582,2,127,2,1,2,1,718,518,2,675,769,0.0,0,1
2014_11_11_15_18_37    352,-1061,492,339,479,661,582,2,127,2,1,2,1,718,518,2,675,769,0.0,0,1
2014_11_11_15_18_37    297,-1017,498,326,431,660,582,2,90,1,2,2,0,717,473,2,672,766,0.0,0,1
2014_11_11_15_18_37    302,-1025,540,325,457,659,583,3,161,3,2,2,2,717,576,2,671,766,0.0,0,1
2014_11_11_15_18_37    302,-1025,540,325,457,659,583,3,161,3,2,2,2,717,576,2,671,766,0.0,0,1
2014_11_11_15_18_37    327,-1008,561,322,458,659,582,1,102,2,2,2,4,719,575,2,675,764,0.0,0,1
2014_11_11_15_18_37    323,-1015,572,322,409,659,583,1,106,2,2,2,1,718,578,1,675,764,0.0,0,1
2014_11_11_15_18_37    307,-992,551,321,409,659,582,2,113,1,2,3,2,718,567,2,677,766,0.0,0,1
2014_11_11_15_18_37    307,-988,543,322,399,659,582,1,117,2,2,1,2,718,551,2,676,764,0.0,0,1
2014_11_11_15_18_37    297,-970,549,322,406,658,582,2,100,2,1,2,2,716,556,1,678,764,0.0,0,1
2014_11_11_15_18_37    312,-997,531,321,305,658,581,2,168,2,2,1,2,714,552,0,680,764,0.0,0,1
2014_11_11_15_18_37    321,-1021,550,320,319,659,581,2,88,1,2,2,2,712,461,3,681,762,0.0,0,1
2014_11_11_15_18_37    343,-1048,528,321,307,658,581,1,95,3,2,0,3,707,460,1,682,764,0.0,0,1
2014_11_11_15_18_37    368,-1040,524,318,333,659,577,2,92,2,0,1,2,709,467,2,680,762,0.0,0,1
2014_11_11_15_18_37    344,-982,503,317,357,655,579,2,110,1,1,3,2,704,466,2,679,763,0.0,0,1
2014_11_11_15_18_37    366,-1042,508,317,325,658,577,2,102,1,2,2,3,708,467,1,678,763,0.0,0,1
2014_11_11_15_18_37    366,-1042,508,317,325,658,577,2,102,1,2,2,3,708,467,1,678,763,0.0,0,1
2014_11_11_15_18_37    352,-1032,494,316,325,658,578,1,111,2,2,3,0,705,463,2,678,762,0.0,0,1
2014_11_11_15_18_37    366,-1043,503,317,357,658,578,2,110,2,2,2,2,707,466,2,672,763,0.0,0,1
2014_11_11_15_18_37    345,-1064,478,316,305,658,578,1,136,0,2,3,2,708,463,2,673,762,0.0,0,1
2014_11_11_15_18_38    339,-1064,484,315,314,658,579,2,140,1,2,1,2,709,467,1,675,763,0.0,0,1
2014_11_11_15_18_38    324,-1039,487,314,312,658,579,2,132,2,2,1,2,709,463,2,674,763,0.0,0,1
2014_11_11_15_18_38    321,-1025,497,315,362,658,579,2,107,0,1,3,2,709,464,4,680,762,0.0,0,1
2014_11_11_15_18_38    344,-1056,503,316,338,658,579,2,145,4,2,2,2,710,453,2,682,762,0.0,0,1
2014_11_11_15_18_38    328,-1031,500,314,336,658,579,2,139,2,1,2,2,710,458,2,685,762,0.0,0,1
2014_11_11_15_18_38    316,-1008,527,314,330,658,579,2,109,2,2,2,1,710,488,2,688,761,0.0,0,1
2014_11_11_15_18_38    345,-1083,531,314,343,658,579,2,153,2,2,4,2,712,459,1,689,760,0.0,0,1
2014_11_11_15_18_38    319,-1036,508,313,360,658,579,1,169,0,2,2,1,712,443,1,694,761,0.0,0,1
2014_11_11_15_18_38    316,-1017,542,313,321,658,579,1,166,1,3,2,1,712,468,1,695,760,0.0,0,1
2014_11_11_15_18_38    316,-1064,518,314,350,658,579,1,170,3,1,1,2,713,471,3,701,761,0.0,0,1
2014_11_11_15_18_38    307,-1049,479,316,295,657,581,3,157,2,2,2,1,712,456,2,700,760,0.0,0,1
2014_11_11_15_18_38    320,-1061,460,320,297,658,582,0,123,2,1,1,4,714,447,2,694,761,0.0,0,1
2014_11_11_15_18_38    307,-1033,423,318,350,658,583,1,117,2,2,1,0,712,468,1,682,761,0.0,0,1
2014_11_11_15_18_38    296,-1028,448,327,309,659,584,1,131,1,4,1,2,712,445,1,682,761,0.0,0,1
2014_11_11_15_18_38    312,-1024,467,345,313,658,585,2,148,1,1,2,2,714,468,1,676,762,0.0,0,1
2014_11_11_15_18_38    310,-1028,499,330,314,658,584,2,142,2,1,4,1,715,447,1,681,760,0.0,0,1
2014_11_11_15_18_38    310,-1028,499,330,314,658,584,2,142,2,1,4,1,715,447,1,681,760,0.0,0,1
2014_11_11_15_18_38    327,-1049,483,330,384,659,585,2,223,2,1,1,2,723,452,4,682,760,0.0,0,1
2014_11_11_15_18_38    359,-1025,494,348,391,661,586,2,223,2,2,1,1,719,504,2,682,761,0.0,0,1
2014_11_11_15_18_38    350,-993,536,350,368,659,585,1,217,2,1,1,2,719,436,2,681,760,0.0,0,1
2014_11_11_15_18_39    310,-1008,536,355,440,661,585,2,214,20,3,1,2,722,448,1,670,761,0.0,0,1
