date,accY,accZ,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,d1,d2,d3
2014_11_11_15_23_57    259,-1065,444,626,683,641,681,2,493,0,4,2,1,778,671,4,785,800,0.0,4,0
2014_11_11_15_23_57    271,-1079,444,625,682,641,682,3,493,2,1,1,2,775,666,2,784,802,0.0,4,0
2014_11_11_15_23_57    271,-1079,444,625,682,641,682,3,493,2,1,1,2,775,666,2,784,802,0.0,4,0
2014_11_11_15_23_57    259,-1074,444,624,684,640,672,2,493,2,2,3,1,772,669,1,784,803,0.0,4,0
2014_11_11_15_23_57    255,-1114,419,625,684,645,672,3,491,2,1,2,2,772,671,2,784,804,0.0,4,0
2014_11_11_15_23_57    264,-1073,439,623,683,645,672,2,489,2,1,2,1,768,669,2,787,803,0.0,4,0
2014_11_11_15_23_57    279,-1096,440,625,682,642,672,1,486,1,2,2,2,774,666,3,784,804,0.0,4,0
2014_11_11_15_23_57    249,-1057,455,624,680,644,672,2,482,2,2,2,2,769,663,1,783,803,0.0,4,0
2014_11_11_15_23_57    252,-1079,467,622,676,643,667,2,480,2,1,2,1,767,670,2,785,803,0.0,4,0
2014_11_11_15_23_57    276,-1081,432,622,677,642,665,3,480,2,1,2,0,766,671,2,783,805,0.0,4,0
2014_11_11_15_23_57    281,-1092,452,623,676,638,666,0,478,2,1,4,2,765,667,1,783,804,0.0,4,0
2014_11_11_15_23_57    270,-1109,463,624,675,639,666,1,476,2,2,2,2,765,667,2,784,798,0.0,4,0
2014_11_11_15_23_58    248,-1114,463,621,674,639,665,2,478,1,2,1,2,769,664,1,783,802,0.0,4,0
2014_11_11_15_23_58    221,-1113,460,621,671,641,666,2,477,1,2,1,2,768,650,1,781,804,0.0,4,0
2014_11_11_15_23_58    221,-1113,460,621,671,641,666,2,477,1,2,1,2,768,650,1,781,804,0.0,4,0
2014_11_11_15_23_58    142,-1036,515,620,671,640,660,2,477,2,2,2,0,764,615,2,761,803,0.0,4,0
2014_11_11_15_23_58    127,-1028,512,620,671,640,656,2,474,1,1,2,1,760,611,1,748,804,0.0,4,0
2014_11_11_15_23_58    95,-1028,504,619,670,639,658,2,472,2,2,2,3,758,627,2,744,807,0.0,4,0
2014_11_11_15_23_58    76,-1079,478,619,669,639,655,2,476,2,1,2,0,758,628,3,738,808,0.0,4,0
2014_11_11_15_23_58    81,-1134,446,620,667,638,667,2,489,2,1,2,1,762,684,3,745,810,0.0,4,0
2014_11_11_15_23_58    113,-1155,399,619,658,636,670,2,497,2,2,0,1,765,692,0,746,816,0.0,4,0
2014_11_11_15_23_58    183,-1120,408,619,657,645,677,2,494,1,2,2,2,771,721,2,749,821,0.0,4,0
2014_11_11_15_23_58    209,-1056,367,620,659,641,677,2,497,2,1,2,2,769,728,3,747,820,0.0,4,0
2014_11_11_15_23_58    287,-1039,307,622,670,648,684,2,535,1,2,2,1,766,729,2,737,827,0.0,4,0
2014_11_11_15_23_58    336,-1023,335,622,668,646,682,3,512,2,2,1,3,761,734,1,735,829,0.0,4,0
2014_11_11_15_23_58    332,-1032,368,623,676,647,684,1,540,3,0,2,2,765,731,2,732,829,0.0,4,0
2014_11_11_15_23_58    361,-1130,312,623,665,664,700,1,542,2,3,1,46,777,750,2,705,836,0.0,4,0
2014_11_11_15_23_58    374,-1184,287,625,697,683,715,2,547,1,2,1,272,746,758,3,688,838,0.0,4,0
2014_11_11_15_23_58    396,-1194,259,627,756,689,708,2,554,2,1,1,290,712,790,2,677,828,0.0,4,0
2014_11_11_15_23_58    382,-1161,171,644,764,717,718,2,560,4,0,1,325,748,852,2,664,840,0.0,4,0
2014_11_11_15_23_58    376,-1177,73,668,800,706,720,2,564,1,1,1,329,772,864,3,670,849,0.0,4,0
2014_11_11_15_23_58    367,-1026,35,675,791,710,720,2,565,1,2,2,302,786,866,2,674,843,0.0,0,1
2014_11_11_15_23_58    432,-1181,1,682,784,721,726,1,560,2,1,1,316,798,861,2,657,848,0.0,0,1
2014_11_11_15_23_59    432,-1181,1,682,784,721,726,1,560,2,1,1,316,798,861,2,657,848,0.0,0,1
2014_11_11_15_23_59    487,-1145,-24,687,797,723,729,1,572,2,2,2,357,807,869,2,654,843,0.0,0,1
2014_11_11_15_23_59    483,-1066,-16,689,794,724,725,2,575,1,1,2,356,818,867,4,653,845,0.0,0,1
2014_11_11_15_23_59    364,-1057,33,690,800,723,718,2,572,2,1,1,296,801,864,2,661,834,0.0,0,1
2014_11_11_15_23_59    396,-1257,35,690,801,710,714,2,571,2,2,2,296,810,862,0,660,831,0.0,0,1
2014_11_11_15_23_59    376,-1180,32,692,802,705,710,1,569,4,1,0,292,811,865,1,663,831,0.0,0,1
2014_11_11_15_23_59    356,-1167,51,691,799,703,711,2,570,2,1,2,293,811,866,2,666,833,0.0,0,1
2014_11_11_15_23_59    276,-1055,-7,691,790,732,720,2,570,1,4,2,294,817,870,2,667,839,0.0,0,1
2014_11_11_15_23_59    254,-985,-26,691,784,726,720,2,570,2,4,1,288,824,868,2,666,839,0.0,0,1
2014_11_11_15_23_59    350,-1044,44,692,781,725,720,3,571,1,2,2,287,827,870,2,666,839,0.0,0,1
2014_11_11_15_23_59    401,-1133,44,690,781,719,721,2,573,2,1,2,278,830,872,2,664,839,0.0,0,1
2014_11_11_15_23_59    422,-1128,73,684,774,732,714,1,553,2,2,1,253,834,872,1,664,840,0.0,0,1
2014_11_11_15_23_59    399,-1208,30,683,772,728,714,2,551,1,2,1,265,829,870,2,664,835,0.0,0,1
2014_11_11_15_23_59    281,-1136,-1,681,773,741,715,2,549,1,1,2,265,826,864,2,665,836,0.0,0,1
2014_11_11_15_23_59    268,-1104,-3,681,775,744,715,2,551,1,3,0,274,826,868,2,664,840,0.0,0,1
2014_11_11_15_23_59    291,-1045,-13,681,771,738,714,1,549,3,1,2,277,825,872,2,662,838,0.0,0,1
2014_11_11_15_23_59    439,-1106,112,680,772,740,712,2,548,2,1,4,267,827,869,1,662,838,0.0,0,1
2014_11_11_15_23_59    439,-1106,112,680,772,740,712,2,548,2,1,4,267,827,869,1,662,838,0.0,0,1
2014_11_11_15_23_59    392,-1138,126,679,764,720,708,1,546,2,1,2,263,835,862,1,663,835,0.0,0,1
2014_11_11_15_23_59    358,-1157,112,676,765,721,710,2,550,1,1,2,258,834,864,1,662,837,0.0,0,1
2014_11_11_15_24_00    297,-1165,-4,678,767,725,715,3,546,2,2,3,257,835,870,2,661,838,0.0,0,1
2014_11_11_15_24_00    296,-1040,-4,683,772,734,716,1,558,3,1,2,273,835,872,2,663,839,0.0,0,1
2014_11_11_15_24_00    296,-1040,-4,683,772,734,716,1,558,3,1,2,273,835,872,2,663,839,0.0,0,1
2014_11_11_15_24_00    368,-1048,127,680,768,733,713,1,550,2,2,2,272,830,868,1,662,837,0.0,0,1
2014_11_11_15_24_00    454,-1155,127,680,767,732,712,2,552,1,2,2,269,820,868,2,663,838,0.0,0,1
2014_11_11_15_24_00    415,-1121,161,687,769,741,712,2,554,2,0,5,269,812,870,3,675,839,0.0,0,1
2014_11_11_15_24_00    352,-1168,19,690,769,738,715,1,569,2,1,1,274,818,873,2,678,839,0.0,0,1
2014_11_11_15_24_00    286,-1137,-18,695,771,739,719,1,569,1,4,2,268,826,875,2,684,848,0.0,0,1
2014_11_11_15_24_00    329,-1081,46,702,776,736,720,2,583,2,2,2,309,836,883,2,694,849,0.0,0,1
2014_11_11_15_24_00    353,-1008,47,703,772,731,717,1,566,1,2,2,275,836,875,1,683,849,0.0,0,1
2014_11_11_15_24_00    364,-1045,123,697,771,731,715,2,555,2,2,2,270,836,873,2,669,847,0.0,0,1
2014_11_11_15_24_00    370,-1144,182,696,770,716,714,2,562,1,0,2,268,825,879,0,664,850,0.0,0,1
2014_11_11_15_24_00    371,-1232,156,695,772,716,713,1,566,1,1,3,270,828,882,3,667,850,0.0,0,1
2014_11_11_15_24_00    304,-1150,31,695,787,734,716,2,568,2,2,1,271,823,882,2,686,851,0.0,0,1
2014_11_11_15_24_00    289,-1113,-1,694,788,746,719,2,576,1,2,2,272,838,885,1,688,852,0.0,0,1
2014_11_11_15_24_00    263,-1043,-95,696,788,748,722,2,592,2,2,2,272,841,885,0,673,852,0.0,0,1
2014_11_11_15_24_00    295,-1050,-52,694,787,754,726,2,589,2,1,1,274,838,886,3,663,846,0.0,0,1
2014_11_11_15_24_00    376,-1056,58,693,792,753,728,0,579,1,1,1,276,842,887,2,661,843,0.0,0,1
2014_11_11_15_24_00    435,-1140,121,695,793,751,724,2,579,1,2,2,273,842,887,1,661,840,0.0,0,1
2014_11_11_15_24_00    419,-1184,132,695,795,744,721,1,576,2,1,2,271,842,888,1,660,847,0.0,0,1
2014_11_11_15_24_01    391,-1181,38,695,795,743,721,1,581,2,0,1,272,844,887,2,663,849,0.0,0,1
2014_11_11_15_24_01    312,-1108,-46,693,795,749,717,2,583,1,1,3,272,843,888,1,665,849,0.0,0,1
2014_11_11_15_24_01    275,-1090,-61,694,796,745,720,1,586,1,2,2,273,843,889,1,662,846,0.0,0,1
2014_11_11_15_24_01    311,-1097,-2,693,794,746,719,2,586,1,3,1,278,842,888,2,660,842,0.0,0,1
2014_11_11_15_24_01    335,-1064,79,692,795,744,717,2,578,4,2,1,271,831,885,2,659,834,0.0,0,1
2014_11_11_15_24_01    337,-1066,145,694,794,745,718,2,575,2,2,1,272,833,882,2,660,835,0.0,0,1
2014_11_11_15_24_01    374,-1137,143,696,798,742,720,1,579,1,2,2,273,834,884,3,660,839,0.0,0,1
2014_11_11_15_24_01    377,-1106,67,691,798,742,724,1,576,2,2,1,274,849,883,2,657,835,0.0,0,1
2014_11_11_15_24_01    344,-1133,39,691,797,747,725,3,573,1,2,2,274,852,884,2,658,837,0.0,0,1
2014_11_11_15_24_01    326,-1160,9,690,799,750,724,2,578,2,2,3,276,855,884,2,657,838,0.0,0,1
2014_11_11_15_24_01    286,-1105,-68,691,803,758,727,2,589,1,1,1,276,846,890,2,656,839,0.0,0,1
2014_11_11_15_24_01    279,-1090,-25,690,813,769,726,3,589,1,491,1,276,846,889,2,656,838,0.0,0,1
2014_11_11_15_24_01    311,-1086,-16,690,783,767,724,2,591,1,492,1,275,846,890,2,657,836,0.0,0,1
2014_11_11_15_24_01    352,-1092,41,691,793,758,722,1,583,3,504,1,269,847,891,2,659,836,0.0,0,1
